category,well_count,feature,group_median,all_median,group_median_percentile_vs_all
pf_bad_hmm_good,7,x_mean,2998063.636030645,2986732.19288762,0.610608020698577
pf_bad_hmm_good,7,y_mean,1086096.9001098948,1083576.4256839051,0.5316946959896507
pf_bad_hmm_good,7,unknown_rows,5225.0,4840.0,0.6235446313065977
pf_bad_hmm_good,7,last_known_row,1726.0,1702.0,0.5239327296248383
pf_bad_hmm_good,7,z_mean_eval,-9911.9991902834,-9323.627420113702,0.2677878395860285
pf_bad_hmm_good,7,z_range_eval,189.21999999999935,160.5600000000013,0.6921086675291074
pf_bad_hmm_good,7,tvt_range_eval,57.960000000000946,26.3700000000008,0.9560155239327296
pf_bad_hmm_good,7,formation_abs_slope_mean,0.04048472884794672,0.03398995400629396,0.7645536869340233
pf_bad_hmm_good,7,formation_abs_slope_max,0.13000000000101863,0.11000000000058208,0.5498059508408797
pf_bad_hmm_good,7,formation_slope_std,0.014887072527472617,0.017154596300824727,0.40103492884864167
pf_bad_hmm_good,7,gr_missing_prefix,0.17371163867979156,0.2030892448512586,0.4307891332470893
pf_bad_hmm_good,7,gr_missing_eval,0.21511961722488038,0.30291031478915065,0.3777490297542044
pf_bad_hmm_good,7,gr_longest_nan_eval,8.0,11.0,0.3311772315653299
pf_bad_hmm_good,7,gr_std_eval,13.661737822290597,13.540360126838038,0.517464424320828
pf_bad_hmm_good,7,gr_slope_change,0.010001746995682272,0.005248378196051512,0.7580853816300129
pf_bad_hmm_good,7,gr_half_mean_diff,8.701969629884331,4.219367999345081,0.7943078913324709
pf_bad_hmm_good,7,gr_quarter_max_jump,12.907475158277364,8.447587436085314,0.7490297542043984
pf_bad_hmm_good,7,hmm_std_mean,1.61380785471906,2.0504687947035363,0.38421733505821476
pf_bad_hmm_good,7,hmm_std_p90,4.414482188181979,3.762792030560323,0.5653298835705045
pf_bad_hmm_good,7,self_gr_quality_mean,0.05456140637397766,0.045063313096761703,0.5692108667529108
pf_bad_hmm_good,7,self_gr_valid_rate,0.8407655358314514,0.6141124367713928,0.6248382923673997
pf_bad_hmm_good,7,pf_std_mean,1.0415062945280382,1.1261093140806353,0.4398447606727037
pf_bad_hmm_good,7,beam_spread_mean,3.556177344023044,2.683542017677122,0.6701164294954722
pf_bad_hmm_good,7,likpf_abs_delta_mean,10.22056639506228,6.923741737375042,0.648124191461837
pf_bad_hmm_good,7,donor_dist_min,955.7708968157106,882.8455072093401,0.5653298835705045
pf_bad_hmm_good,7,donor_dist_max,1360.090562352316,1327.3860090042674,0.5265200517464425
pf_bad_hmm_good,7,delta_abs_median,2.6320652471353925,1.9260367098228663,0.6429495472186287
pf_bad_hmm_good,7,delta_abs_max,4.0,4.0,1.0
pf_bad_hmm_good,7,end_minus_anchor,7.556046917126743,1.1677536482870376,0.6985769728331177
hmm_bad_pf_good,7,x_mean,2956169.238972348,2986732.19288762,0.3906856403622251
hmm_bad_pf_good,7,y_mean,1087870.3264228306,1083576.4256839051,0.5485122897800776
hmm_bad_pf_good,7,unknown_rows,4487.0,4840.0,0.37904269081500647
hmm_bad_pf_good,7,last_known_row,1649.0,1702.0,0.4087968952134541
