rows,rmse,mae,bias,within5,within10,abs_p50,abs_p90,abs_p95,abs_p99,method,delta_rmse_vs_anchor
3783989,15.797006778716462,11.203994256623398,-1.4099333730890944,0.35096481517255995,0.5827641148005451,7.994080066680908,24.821496963500977,32.785133361816406,51.26044464111328,blend10_u_md_tail100_anchor,-0.11284609201809026
3783989,15.904728713002418,11.27398520793015,-1.4629566848470386,0.34997115477872687,0.5777857705188889,8.03499984741211,24.916000366210938,32.7599983215332,51.301998138427734,blend10_u_md_tail30_median_anchor,-0.005124157732133483
3783989,15.909852870734552,11.196479701711603,-1.5959871791381763,0.3495435636837211,0.5786285319539777,8.029999732971191,24.68000030517578,32.34000015258789,53.130001068115234,anchor,0.0
3783989,18.001899601309276,12.549742955896544,-1.130852664015474,0.33846715727767707,0.5578681650501627,8.444964408874512,29.124601364135742,38.474334716796875,58.54947280883789,blend25_u_md_tail100_anchor,2.092046730574724
3783989,18.502982851156762,12.417982868091165,-0.9906127947490041,0.33465028571700395,0.5524627582162633,8.617669105529785,27.30983543395996,35.9277458190918,63.17010498046875,blend10_md_tail200_anchor,2.5931299804222103
3783989,18.55538990441488,12.753112369588813,-1.2634109434103247,0.3400821196890372,0.5503459444517412,8.567500114440918,29.469999313354492,38.932498931884766,61.119998931884766,blend25_u_md_tail30_median_anchor,2.6455370336803288
3783989,20.52800494791344,13.167432996819493,-0.9999760630376497,0.3386148849798453,0.5516797221133571,8.538926124572754,29.003808975219727,40.85166931152344,75.86410522460938,blend10_mdz_tail200_anchor,4.618152077178889
3783989,32.66059441622227,17.861749302289855,-0.08255121816523815,0.2829857592080738,0.4751432945497463,10.807159423828125,40.751434326171875,55.63401794433594,92.2958755493164,blend25_md_tail200_anchor,16.750741545487713
3783989,37.50908090144,18.807132766056398,-0.10595938888685842,0.3069572876665339,0.5039118771222644,9.866767883300781,40.41323471069336,65.11632537841797,153.79949951171875,blend25_mdz_tail200_anchor,21.599228030705447
3783989,46.202840602516254,28.624309208162277,0.2645508813526378,0.2573244795373348,0.39298132209158115,15.31494140625,73.56595611572266,101.1498794555664,172.66534423828125,u_md_tail100_anchor,30.2929877317817
3783989,49.49315500504954,29.66799684098683,-0.26568223622676795,0.25845661813498927,0.39455743660988446,15.180000305175781,76.69000244140625,106.80000305175781,177.66000366210938,u_md_tail30_median_anchor,33.583302134314984
3783989,63.544332125557425,38.71371310798099,-5.835379983717797,0.19027645164930448,0.30737880051976896,21.916160583496094,93.7107925415039,127.34699249267578,228.88287353515625,mdz_all_anchor,47.63447925482287
3783989,66.21576623266209,43.16855856410656,-1.2873620633384968,0.15811224609796698,0.27293842556096226,25.610292434692383,105.01286315917969,143.0674591064453,239.4892578125,u_md_all_anchor,50.30591336192754
3783989,107.49482425817838,86.84711372575357,-14.613284520647367,0.04072924102052094,0.07699731685266527,77.0199966430664,173.11000061035156,205.5,267.489990234375,u_const_anchor,91.58497138744383
3783989,109.05292225648495,87.77894193581861,-20.065813066809092,0.04104663094950858,0.07779118808220636,77.2424087524414,176.53701782226562,209.05853271484375,272.3445129394531,z_all_anchor,93.1430693857504
3783989,113.63473420238907,56.44148799154621,3.962154233200386,0.1686730590390194,0.27285491580445925,27.001176834106445,139.10113525390625,194.96661376953125,351.0376892089844,md_tail50_anchor,97.72488133165452
3783989,123.76372586238897,55.314442134100844,4.4577566647535845,0.16274148788487494,0.2698586068828424,26.78953742980957,135.9482421875,185.84178161621094,324.8990783691406,md_tail200_anchor,107.85387299165441
3783989,139.75239010681673,55.75348751460501,4.364123981867093,0.22683179047296384,0.35332502287929485,18.925006866455078,121.34730529785156,232.84976196289062,589.6387329101562,mdz_tail200_anchor,123.84253723608218
3783989,146.40251590494657,63.00533095153964,9.272112221479919,0.1701223232942802,0.28125108186096737,25.154813766479492,133.609375,242.02757263183594,655.8935546875,z_tail200_anchor,130.49266303421203
3783989,1260.1653622656715,1030.6293752666777,1030.6293752359286,0.002721730956406057,0.005636115749807941,921.7914428710938,2016.922119140625,2346.77734375,3145.211669921875,md_all_anchor,1244.255509394937
