episode_id,well,rows,episode_sse,actual_mean_error_ft,actual_rmse_ft,current_mean_error_ft,current_rmse_ft,exact_mean_position_mean_error_ft,exact_mean_position_rmse_ft,boundary_normalized_mean_error_ft,boundary_normalized_rmse_ft,exact_mean_plus_boundary_mean_error_ft,exact_mean_plus_boundary_rmse_ft,momentum_one_mean_error_ft,momentum_one_rmse_ft,exact_mean_plus_momentum_one_mean_error_ft,exact_mean_plus_momentum_one_rmse_ft,boundary_plus_momentum_one_mean_error_ft,boundary_plus_momentum_one_rmse_ft,all_three_corrections_mean_error_ft,all_three_corrections_rmse_ft,position_quantization_episode_mean_effect_ft,position_quantization_onset_effect_ft,position_quantization_preceding128_effect_change_ft,position_quantization_episode_sign_matches_actual,position_quantization_onset_sign_matches_actual,position_quantization_episode_anchor_safe_fraction,position_quantization_onset_anchor_safe,rate_boundary_episode_mean_effect_ft,rate_boundary_onset_effect_ft,rate_boundary_preceding128_effect_change_ft,rate_boundary_episode_sign_matches_actual,rate_boundary_onset_sign_matches_actual,rate_boundary_episode_anchor_safe_fraction,rate_boundary_onset_anchor_safe,rate_mean_reversion_episode_mean_effect_ft,rate_mean_reversion_onset_effect_ft,rate_mean_reversion_preceding128_effect_change_ft,rate_mean_reversion_episode_sign_matches_actual,rate_mean_reversion_onset_sign_matches_actual,rate_mean_reversion_episode_anchor_safe_fraction,rate_mean_reversion_onset_anchor_safe,all_transition_components_episode_mean_effect_ft,all_transition_components_onset_effect_ft,all_transition_components_preceding128_effect_change_ft,all_transition_components_episode_sign_matches_actual,all_transition_components_onset_sign_matches_actual,all_transition_components_episode_anchor_safe_fraction,all_transition_components_onset_anchor_safe
000d7d20:000,000d7d20,242,25728.70604174894,10.309940082644415,10.311011934561275,-16.982472427363884,16.989273982857547,-67.09871651650079,67.11355967959018,-17.028844533253054,17.03572191880832,-66.7772325319257,66.79213256163891,-18.985987230649464,18.995122273183764,-56.37144871243599,56.388429120656305,-16.383209855266788,16.39354096984396,-37.35960009351644,37.37382066786927,50.116244089136906,48.74878188020739,1.198686820025614,True,True,1.0,True,0.04637210588917087,0.04148338442064414,0.004032919930978096,True,True,1.0,True,2.003514803285582,1.8464304295666807,0.12878408167489397,True,True,1.0,True,20.377127666152557,19.682602012324423,0.4343382263505191,True,True,1.0,True
000d7d20:001,000d7d20,271,28101.87872624924,10.182964944649308,10.183170894645459,-21.184890431473168,21.19906806034839,-77.46503222122196,77.48334042379241,-21.254202246216046,21.26845876528873,-77.14013717146821,77.15851569594615,-23.927914555775608,23.944306896790998,-66.58633823435254,66.60723888053238,-21.277817138998895,21.296599295265995,-45.1859836805252,45.20610491823365,56.28014178974878,54.871560460516775,1.0598038591706427,True,True,0.915129151291513,True,0.0693118147428792,0.06403809884250222,0.003869447997203679,True,True,1.0,True,2.7430241243024396,2.5732450725154195,0.12334928428208514,True,True,1.0,True,24.00109324905203,23.184164093026993,0.45687065873789834,True,True,1.0,True
00bbac68:000,00bbac68,295,34466.32885199924,10.797291525423608,10.80902461175959,-22.799076399275762,22.82273096894409,-109.91733760794351,109.94440720825152,-22.941865147735783,22.965616736515763,-109.38976708877743,109.41696561046508,-28.6589142337351,28.684759645543323,-93.94557522436686,93.97708643310807,-24.0141923733486,24.049426591867295,-57.11963461017452,57.1588056953617,87.11826120866775,84.04819852067703,4.3407021394396,True,True,0.0,False,0.1427887484600217,0.1301421111656964,0.01945035979770182,True,True,1.0,True,5.859837834459337,5.442784266142553,0.6480923874241853,True,True,1.0,True,34.32055821089875,31.82258819981871,3.803072793272804,True,True,0.3898305084745763,True
00e12e8b:000,00e12e8b,933,165598.22933950217,-13.282504823151212,13.322539682836474,-13.329916624808785,13.841004617519475,-17.380811961857198,19.973081177556455,-13.255792203159636,13.75761477555704,-17.157705090346212,19.709968025630257,-11.128439566853295,11.498794288081509,-9.837469799809988,11.79548215747386,-9.802000247614693,9.996234664092169,-6.033095637920963,7.048984541019194,4.050895337048413,-3.1792671464718296,-1.3727404670698888,False,True,1.0,True,-0.0741244216491491,-0.004688197055656929,-0.004556386580588878,True,True,1.0,True,-2.2014770579554903,-0.5130941627830907,-0.41321555552895006,True,True,1.0,True,-7.296820986887822,-4.729583907444976,-2.6588256356699276,True,True,1.0,True
00e12e8b:001,00e12e8b,197,24368.34492199984,11.110842639593868,11.121923500239374,-15.24613633431007,15.26593586537062,-61.08034834346622,61.10003640566997,-15.088279018211878,15.108281703808931,-60.37103391573433,60.3907736201832,-13.300769329102845,13.324471357102025,-43.02167994084643,43.04384572756366,-5.493163184616158,5.5230040176385,-19.034306217417157,19.043322889554688,45.83421200915615,43.48136702811826,4.801445030916511,True,True,1.0,True,-0.15785731609819056,-0.16168233859934844,0.008447392543530441,False,False,1.0,True,-1.9453670052072236,-2.1267837668165157,0.42714972834073706,False,False,1.0,True,3.7881698831070905,3.1319551434298774,2.461811104316439,True,True,1.0,True
015fe0d2:000,015fe0d2,858,180721.51100599708,14.42931468531457,14.513136522083064,28.93232511377712,29.387412231363943,113.28659831389542,113.84246511553219,28.912285499604998,29.372118327130153,112.50620917108476,113.0657607265983,31.298967497624908,31.865943997423752,93.10976876688731,93.77602241003525,20.638884864999547,21.508056245731392,50.49973400800852,51.362740038076694,-84.3542732001183,-75.36975196435196,-3.310709775376381,False,False,0.0,False,0.020039614172127223,0.05657011511721066,-0.012990227309273905,True,True,1.0,True,-2.3666423838477852,-1.1760094544242747,-0.4231215033578337,False,False,1.0,True,-21.56740889423139,-16.06200615029229,-2.091093706239917,False,False,0.9475524475524476,True
01869cd4:000,01869cd4,363,51637.1434737481,11.8943209366389,11.926905883326123,47.195059107580256,47.22493657492403,116.72136228528812,116.79919321672307,47.090934508888296,47.121229794738525,115.94094084479613,116.01927043760124,47.422078190284395,47.46468061263181,96.5467619709718,96.63933339876249,34.14912497089197,34.2096279431101,54.14637277334091,54.25652554958246,-69.52630317770787,-65.9359515201304,0.07467850262582942,False,False,0.0,False,0.10412459869195737,0.11855629184901773,0.0007190492087829625,True,True,1.0,True,-0.22701908270413917,0.24225684449447726,0.030771391740927356,False,True,1.0,True,-6.951313665760654,-4.796000037635167,1.180945277956198,False,False,1.0,True
01869cd4:001,01869cd4,477,191492.0704134984,19.525186582809127,20.036239202255935,70.81818674522557,70.99447424288341,177.77658853802572,177.95393575424518,70.87692930064551,71.05391744158847,176.99285168052734,177.17098086677015,76.43774403429275,76.62831705051182,157.38819933925168,157.58817647217134,65.14736659001076,65.39099411308368,106.95507374557933,107.21198522539659,-106.95840179280015,-103.00304818671066,-1.0519679569351865,False,False,0.0,False,-0.058742555419948474,-0.042567783915728796,-0.004036891674331855,False,False,1.0,True,-5.61955728906717,-5.085905966481732,-0.1310042353343306,False,False,1.0,True,-36.13688700035377,-33.123630565540225,-0.48967373960658733,False,False,0.0,False
028d7b28:000,028d7b28,4839,4907248.151781209,29.297103223806428,31.844996024626454,70.29924473206957,75.0455019496723,158.21616191598415,169.50087954030917,70.39297913825136,75.17506889991773,157.72885768437277,169.02447879440538,75.10722432894127,81.09839855553106,143.39448601656784,155.14393497142248,70.41701224008098,76.53667329632489,116.3049760648144,126.23235071704323,-87.91691718391458,-19.829282939899713,-4.287711687404226,False,False,0.2109940070262451,True,-0.09373440618179436,0.07035379871922487,0.012411842984874966,False,True,0.5949576358751808,True,-4.807979596871706,2.139463460940533,0.08080917622282868,False,True,0.5556933250671626,True,-46.00573133274483,-5.814209249354462,-1.8451997604261123,False,False,0.3725976441413515,True
02e7fe5a:000,02e7fe5a,652,182329.435948252,-16.350089723926477,16.722630599094174,-37.31521053059009,37.59447487437539,-75.87525068230916,76.07243492900673,-37.26051224746109,37.540578568781754,-75.34769506312742,75.5462447546102,-36.40560958969468,36.70501499610088,-59.90422132060985,60.15255370151812,-25.23593515888866,25.6394451196155,-23.070526993311503,23.557672648602548,38.56004015171907,38.086356670059104,-0.5185507024707476,False,False,1.0,True,-0.05469828312900699,-0.05644722760007426,-0.0020666659711423563,True,True,1.0,True,-0.9096009408954132,-0.9610957497970958,-0.07141664393930114,True,True,1.0,True,-14.244683537278586,-13.418009658962546,-1.1011451316917373,True,True,1.0,True
