well_a,well_b,th_ft,matched_rows,a_to_b_index_spearman,xy_matched_gr_corr,xy_matched_gr_slope_corr,min_xy_dist_ft,min_run_250ft
1e30dedf,2fd68f7b,100,221,-0.997720505558001,-0.5849001260742923,-0.030916015003509805,0.0921954448860788,521
1e30dedf,2fd68f7b,250,277,-0.9963054330822224,-0.6499772919559552,-0.043201489747207285,0.0921954448860788,521
1e30dedf,2fd68f7b,500,394,-0.9858533100214862,-0.5923814867215413,-0.03763905451464321,0.0921954448860788,521
155887bb,c2c6fc71,100,2279,-0.9999999559000983,-0.06739175432558508,0.011237594487776937,0.2607680964509651,5686
155887bb,c2c6fc71,250,2533,-0.999999944252845,-0.05214584398666861,0.002378940328753599,0.2607680964509651,5686
155887bb,c2c6fc71,500,3560,-0.9971851868012663,-0.06690300871623603,-0.003599620223573833,0.2607680964509651,5686
4ed93db6,861e71df,100,673,-0.9904252869799685,-0.5483287119111918,-0.06020143242588895,9.625725946508611,809
4ed93db6,861e71df,250,851,-0.9720136572582002,-0.49225357290688493,-0.035306447438995386,9.625725946508611,809
4ed93db6,861e71df,500,1097,-0.9301325310646735,-0.4721158007084152,-0.034063404053835795,9.625725946508611,809
7d57c75d,dc7f9757,100,542,-0.9973031388579818,-0.0626011476785994,-0.13286239061695648,29.65004215837745,1719
7d57c75d,dc7f9757,250,689,-0.9780948881730762,0.024631216671669814,-0.12972132530946445,29.65004215837745,1719
7d57c75d,dc7f9757,500,928,-0.9277668113707804,0.058296261269626594,-0.12554040783793163,29.65004215837745,1719
bf39bc20,cc08aa63,100,537,-0.9974998324714083,0.402603030076239,-0.018948272462702365,48.66975344095047,1047
bf39bc20,cc08aa63,250,762,-0.998060462716321,0.35856492626114966,-0.016286179608255312,48.66975344095047,1047
bf39bc20,cc08aa63,500,871,-0.9926763963843733,0.3855962808594684,-0.015958176432126898,48.66975344095047,1047
2e43c2ea,b4f37e6e,100,514,-0.999810985726519,0.04423554414703931,0.005770957818387341,49.391831308261125,1692
2e43c2ea,b4f37e6e,250,880,-0.9991073421995862,-0.025234203914276377,0.00965210264005135,49.391831308261125,1692
