well_a,well_b,min_xy_dist_ft,global_angle_deg,local_angle_deg,min_run_250ft,corr_same_progress,corr_reverse_progress,corr_reverse_minus_same,overlap_grid_same,overlap_grid_reverse
1e30dedf,2fd68f7b,0.0921954448860788,151.9508859982491,154.78433395644967,521,0.1358954556003852,0.2701438902427388,0.13424843464235361,1000,1000
155887bb,c2c6fc71,0.2607680964509651,176.00692005273166,168.2048295213738,5686,0.08309486537118968,0.2566827250600599,0.17358785968887022,987,986
4ed93db6,861e71df,9.625725946508611,175.97621173557135,167.5758035565586,809,0.4149962116216498,-0.10261168414587996,-0.5176078957675297,1001,1001
7d57c75d,dc7f9757,29.65004215837745,179.89464418991858,175.4927826609756,1719,0.12462519615100384,-0.11368262579102788,-0.2383078219420317,1001,1001
bf39bc20,cc08aa63,48.66975344095047,177.77299489273688,178.6202335631411,1047,0.22015748454591566,-0.006920228021629089,-0.22707771256754475,1000,1000
2e43c2ea,b4f37e6e,49.391831308261125,179.882434120567,179.79062665402208,1692,0.03190720647748664,-0.13612995032342773,-0.16803715680091436,1000,1000
9af1ffd0,9d3ec64c,59.22413190578583,178.76044413614315,179.73945092918316,893,0.45731804370370577,0.058647268588257875,-0.3986707751154479,1001,1001
c2c4db09,cb879f40,59.39303157766356,179.78588240055117,179.33795557023032,1405,0.2634568208606278,0.01852651077458556,-0.24493031008604227,1001,1001
c3957531,e5864244,75.36658477049615,163.35663563479557,177.2367151541961,1046,0.09562892726047176,-0.005166849235282033,-0.10079577649575379,1000,1000
8c167025,ef04658e,76.06231261276365,173.5775273654967,171.89702631004266,620,0.07596187096217477,-0.06779389545281149,-0.14375576641498627,990,990
2acc78d4,9b9e3b49,77.06220149984756,177.792514664268,179.97976899769657,1348,0.2969254982235883,-0.023044560519613764,-0.3199700587432021,1000,999
bd6f0e19,cbb406b5,82.57203945605377,178.44668533883933,179.89726700228405,1734,0.44269033744481795,-0.05072846938951249,-0.4934188068343304,1000,1000
6d1d74e1,98bc6f66,82.69572238043624,179.51612080019427,179.38934130701148,858,0.07143035122564455,0.06948728685291923,-0.0019430643727253172,1000,1000
3bbe1f5d,4caa7289,91.3255999157236,179.06721488844843,179.510750178903,736,0.07543745020182484,-0.24446548601949736,-0.3199029362213222,1000,1000
593876b6,da940160,92.81781941006824,175.90981215909275,179.48455216025192,1046,0.20289080777713517,0.06275334977989865,-0.14013745799723654,1001,1001
5a5269a9,d60430e6,93.0302509939609,173.96858699461362,178.56543548049447,972,-0.05624410378448566,0.18196395243523392,0.23820805621971958,1001,1001
05a0ee4d,bffe3082,94.19902759564906,178.8026709309846,160.20921247547406,733,-0.049698291194182474,-0.04008257500066923,0.009615716193513243,1000,999
4654e7de,8d5d46d7,95.7053028833786,178.90280620090104,179.45855776939635,1243,0.0845549749940217,-0.017394692799934625,-0.10194966779395633,1001,1001
06df5958,b32e4903,97.455040916266,179.0267318313957,179.11807821913928,1184,-0.08078288972909681,-0.08789713247808671,-0.007114242748989905,980,980
203721ab,c42fe306,98.94353187557331,178.74876573168478,179.82508090664288,1381,-0.007434155958944483,0.002548245423164982,0.009982401382109466,1000,1000
10a1281a,be83e781,102.7032005343106,177.22216364321972,179.71455510083644,906,-0.025578795464598767,0.04340570794192423,0.068984503406523,993,993
efde6ac3,fae0c593,106.20407007284804,178.18225288800758,179.66655746257044,1235,0.3044300647258052,-0.12646660500501608,-0.4308966697308213,1000,1000
d085e611,fae0c593,106.20407007284804,178.1108376552939,179.66655746257044,1235,0.09069699841147692,-0.0703301391844981,-0.16102713759597503,1000,1000
18d24f7b,884ecb5f,106.4586492494401,179.4262964932016,179.60973150182517,1049,-0.12375039838475711,-0.06556160207608566,0.05818879630867145,1001,1001
8bb9c1e6,d2f3b1ab,106.91961092348436,178.51919315123305,179.50351138257952,1315,-0.14279994381570688,0.06626378527719677,0.20906372909290366,1001,1001
060ab2b8,ebe69318,107.18900036872466,178.19528511926077,172.8608448579397,1410,0.15545373065717616,0.18426739563645553,0.02881366497927937,999,999
0be01c24,da940160,107.29520865364636,174.82576152595666,179.89806115948204,1080,0.3316605939038248,0.05896747614005094,-0.27269311776377386,1001,1001
aee6393a,e97032ad,107.65157918034942,174.47137554026548,166.60388042040188,1003,-0.16106741527998078,-0.05016880201230066,0.11089861326768012,1001,1001
aee6393a,e7c36e81,107.65157918034942,173.4422967884782,166.60388042040188,1003,-0.2373159399972361,-0.05698320342097318,0.18033273657626292,1001,1001
5def1ce5,bb2cdd83,111.49822061392,179.14728928103833,179.2355631002461,952,0.04931870542955113,-0.018162294215341723,-0.06748099964489285,1001,1001
