metric,count,mean,std,min,max,p01,p05,p10,p25,p50,p75,p90,p95,p99
boundary_delta_after_1,773,0.0013324708926222729,0.03462095929507294,-0.12999999999919964,0.5299999999988358,-0.07000000000021828,-0.040000000000873115,-0.030000000000654836,-0.010000000000218279,0.0,0.019999999998617568,0.030000000000654836,0.040000000000873115,0.06000000000130967
boundary_slope_after_1,773,0.0013324708926222729,0.03462095929507294,-0.12999999999919964,0.5299999999988358,-0.07000000000021828,-0.040000000000873115,-0.030000000000654836,-0.010000000000218279,0.0,0.019999999998617568,0.030000000000654836,0.040000000000873115,0.06000000000130967
boundary_delta_before_1,773,0.0014489003881417105,0.03417376413096927,-0.13000000000101863,0.5299999999988358,-0.06999999999970896,-0.040000000000873115,-0.030000000000654836,-0.010000000000218279,0.0,0.010000000002037268,0.030000000000654836,0.040000000000873115,0.06000000000130967
boundary_slope_before_1,773,0.0014489003881417105,0.03417376413096927,-0.13000000000101863,0.5299999999988358,-0.06999999999970896,-0.040000000000873115,-0.030000000000654836,-0.010000000000218279,0.0,0.010000000002037268,0.030000000000654836,0.040000000000873115,0.06000000000130967
boundary_delta_after_minus_before_1,773,-0.00011642949551943765,0.006949999193503226,-0.019999999998617568,0.020000000002255547,-0.010000000002037268,-0.010000000000218279,-0.010000000000218279,-3.637978807091713e-12,0.0,1.8189894035458565e-12,0.010000000000218279,0.010000000000218279,0.010000000002037268
future_delta_1,773,0.0013324708926222729,0.03462095929507294,-0.12999999999919964,0.5299999999988358,-0.07000000000021828,-0.040000000000873115,-0.030000000000654836,-0.010000000000218279,0.0,0.019999999998617568,0.030000000000654836,0.040000000000873115,0.06000000000130967
future_abs_delta_1,773,0.02045278137126595,0.02795586655363905,0.0,0.5299999999988358,0.0,0.0,0.0,0.00999999999839929,0.010000000002037268,0.029999999998835847,0.040000000000873115,0.050000000001091394,0.08000000000043656
future_delta_5,773,0.009327296248377089,0.17591820621313106,-0.6599999999998545,2.649999999999636,-0.34279999999838767,-0.21000000000094587,-0.15999999999985448,-0.06000000000130967,0.0,0.07999999999992724,0.1679999999989384,0.22999999999956344,0.3128000000008612
future_abs_delta_5,773,0.10184993531686168,0.14369231030953428,0.0,2.649999999999636,0.0,0.0,0.010000000000218279,0.029999999998835847,0.06999999999970896,0.1400000000012369,0.21999999999934516,0.27000000000043656,0.39119999999944305
future_delta_10,773,0.017826649417865135,0.3410190245308668,-1.2999999999992724,5.209999999999127,-0.6699999999987631,-0.41400000000103315,-0.31999999999970896,-0.12999999999919964,0.0,0.1499999999996362,0.32999999999992724,0.4500000000007276,0.6184000000002553
future_abs_delta_10,773,0.20230271668821959,0.2750141333256706,0.0,5.209999999999127,0.0,0.010000000000218279,0.020000000000436557,0.05999999999949068,0.13999999999941792,0.2899999999990541,0.43800000000046635,0.5500000000010914,0.7796000000001349
future_delta_30,773,0.04236739974124661,0.9926418195607913,-3.4099999999998545,15.069999999999709,-2.0268000000018946,-1.3100000000002183,-0.960000000000582,-0.37000000000080036,0.010000000000218279,0.4400000000005093,0.9500000000007276,1.3200000000004366,1.9439999999992856
future_abs_delta_30,773,0.6030918499353035,0.7892681322325057,0.0,15.069999999999709,0.010000000000218279,0.039999999999054126,0.06999999999788997,0.18000000000211003,0.42000000000007276,0.8500000000003638,1.319999999999709,1.6600000000016735,2.2455999999993943
future_delta_50,773,0.06553686934020679,1.612965883294669,-5.25,24.19000000000051,-3.545600000000486,-2.112000000000626,-1.557999999999447,-0.6099999999987631,0.0,0.7399999999997817,1.5559999999994047,2.225999999999475,3.0884000000001097
future_abs_delta_50,773,0.9949805950840608,1.270704857594879,0.0,24.19000000000051,0.017199999999575083,0.060000000000582074,0.11000000000058208,0.31999999999970896,0.6900000000023283,1.389999999999418,2.2079999999994477,2.819999999999709,3.6784000000002552
future_delta_100,773,0.13394566623547569,2.959744480664898,-11.610000000000582,41.52000000000044,-6.350000000002183,-3.9760000000005675,-2.94800000000032,-1.1499999999996362,0.0,1.4600000000009459,3.0600000000013097,4.390000000000868,6.139200000000197
future_abs_delta_100,773,1.909262613195339,2.264519038622045,0.0,41.52000000000044,0.020000000000436557,0.10600000000013098,0.23200000000106233,0.6000000000003638,1.3400000000001455,2.710000000000946,4.211999999999537,5.34599999999991,6.682799999999042
