prefix,future,wells,pearson,spearman,sign_match_rate,prefix_abs_median,future_abs_median
1,1,773,0.9796714788801891,0.9376456576706328,0.9981024667931688,0.010000000000218279,0.010000000002037268
1,5,773,0.9561426460028416,0.9658290295588817,0.9965457685664939,0.010000000000218279,0.013999999999941792
1,10,773,0.9775832291461204,0.9646228366771272,0.9948453608247423,0.010000000000218279,0.013999999999941792
1,30,773,0.9738440411938573,0.9476338986528845,0.966044142614601,0.010000000000218279,0.014000000000002425
1,50,773,0.9560834592464418,0.920132746343053,0.9540816326530612,0.010000000000218279,0.013800000000046567
1,100,773,0.9053738150995478,0.8423198310977998,0.8924914675767918,0.010000000000218279,0.013400000000001456
1,250,773,0.7552453758601899,0.6807784270423121,0.7792869269949066,0.010000000000218279,0.011239999999997963
1,500,772,0.5325993365581416,0.4770015521708367,0.7023809523809523,0.010000000000218279,0.009979999999999562
1,1000,771,0.34360536146788834,0.30581536378349844,0.6235093696763203,0.010000000000218279,0.007469999999999345
1,2000,767,0.25068346307288486,0.18539290302219166,0.571917808219178,0.010000000000218279,0.004230000000000473
1,end,773,0.18875691977451284,0.09169556974456963,0.5357142857142857,0.010000000000218279,0.0022642244738891233
5,1,773,0.9886636560453883,0.9685779674252974,0.9950331125827815,0.013999999999941792,0.010000000002037268
5,5,773,0.9594849503632122,0.9870351118486546,0.9928876244665719,0.013999999999941792,0.013999999999941792
5,10,773,0.9811459551082036,0.9842592182705535,0.9832167832167832,0.013999999999941792,0.013999999999941792
5,30,773,0.9765145098679268,0.9656820775581805,0.9433701657458563,0.013999999999941792,0.014000000000002425
5,50,773,0.958570912445622,0.9370527543433094,0.9186206896551724,0.013999999999941792,0.013800000000046567
5,100,773,0.9078492443645021,0.8565361427577319,0.8549723756906077,0.013999999999941792,0.013400000000001456
5,250,773,0.757795868330525,0.6935846343027336,0.7431318681318682,0.013999999999941792,0.011239999999997963
5,500,772,0.5345847377341766,0.48639908130618803,0.6629986244841816,0.013999999999941792,0.009979999999999562
5,1000,771,0.3472518003366565,0.31399359885790457,0.6088154269972452,0.013999999999941792,0.007469999999999345
5,2000,767,0.2531999276406224,0.1970624863184409,0.5720221606648199,0.013999999999941792,0.004230000000000473
5,end,773,0.18846246580841108,0.0957306137969376,0.530949105914718,0.013999999999941792,0.0022642244738891233
10,1,773,0.9867275943626796,0.9666506063560469,0.9917627677100495,0.013999999999941792,0.010000000002037268
10,5,773,0.9572524176650905,0.9831094691206073,0.9833101529902643,0.013999999999941792,0.013999999999941792
10,10,773,0.9784658466117239,0.9796494587237985,0.9713114754098361,0.013999999999941792,0.013999999999941792
10,30,773,0.9731364048834658,0.9594109057124139,0.9250334672021419,0.013999999999941792,0.014000000000002425
10,50,773,0.9549540472862021,0.9290995166820125,0.9010695187165776,0.013999999999941792,0.013800000000046567
10,100,773,0.9032699690606785,0.8460623524972298,0.8366800535475234,0.013999999999941792,0.013400000000001456
10,250,773,0.7523477734794523,0.6843461397064488,0.729693741677763,0.013999999999941792,0.011239999999997963
10,500,772,0.5285620945947197,0.4774455660474741,0.6506666666666666,0.013999999999941792,0.009979999999999562
10,1000,771,0.3410001338198515,0.30725103808697857,0.6021361815754339,0.013999999999941792,0.007469999999999345
10,2000,767,0.24743144075049509,0.192700603173051,0.5691275167785235,0.013999999999941792,0.004230000000000473
10,end,773,0.18536166934344864,0.09038316281865658,0.5333333333333333,0.013999999999941792,0.0022642244738891233
30,1,773,0.9668679831935334,0.944670832481702,0.9736842105263158,0.013666666666661815,0.010000000002037268
30,5,773,0.936975558646271,0.9557284063350492,0.9420689655172414,0.013666666666661815,0.013999999999941792
30,10,773,0.9564345328149887,0.9498171715690147,0.9232839838492598,0.013666666666661815,0.013999999999941792
30,30,773,0.9490429935059327,0.9231442205310262,0.8740157480314961,0.013666666666661815,0.014000000000002425
30,50,773,0.9304629431157405,0.8880639100635241,0.8505897771952818,0.013666666666661815,0.013800000000046567
30,100,773,0.8742627787876307,0.7968393207333246,0.7955439056356488,0.013666666666661815,0.013400000000001456
30,250,773,0.7195570271144859,0.6436815590818096,0.7066492829204694,0.013666666666661815,0.011239999999997963
30,500,772,0.49663677068233086,0.4413984844532373,0.6370757180156658,0.013666666666692133,0.009979999999999562
30,1000,771,0.32118872576662005,0.2847856849586792,0.5947712418300654,0.013666666666661815,0.007469999999999345
30,2000,767,0.23340732073777226,0.1765061648832345,0.5532194480946123,0.013666666666661815,0.004230000000000473
30,end,773,0.17746375131441264,0.07789312487939704,0.5287206266318538,0.013666666666661815,0.0022642244738891233
50,1,773,0.9539974940201181,0.9190812992130443,0.9589490968801314,0.013800000000010186,0.010000000002037268
50,5,773,0.9241182321583854,0.9273570465397127,0.9133425034387895,0.013800000000010186,0.013999999999941792
50,10,773,0.9428121003253773,0.9201496256224059,0.8927613941018767,0.013800000000010186,0.013999999999941792
50,30,773,0.9351110178990082,0.8897820086794909,0.8446475195822454,0.013800000000010186,0.014000000000002425
50,50,773,0.9166265436003477,0.8518535956702024,0.8213820078226858,0.013800000000010186,0.013800000000046567
50,100,773,0.8567014381981115,0.7565414852532465,0.7666232073011734,0.013800000000010186,0.013400000000001456
50,250,773,0.7005696455774331,0.6105557966700776,0.695201037613489,0.013800000000010186,0.011239999999997963
50,500,772,0.4789276112116001,0.41187513896702027,0.6311688311688312,0.013800000000010186,0.009979999999999562
50,1000,771,0.3112470517573456,0.2657845117195285,0.5864759427828349,0.013800000000010186,0.007469999999999345
50,2000,767,0.23208721090293125,0.16138971631265261,0.5437908496732026,0.013600000000005821,0.004230000000000473
50,end,773,0.1811927283619325,0.06647867156645326,0.5142857142857142,0.013800000000010186,0.0022642244738891233
100,1,773,0.9215496598909645,0.8522425389634651,0.9013157894736842,0.013400000000001456,0.010000000002037268
100,5,773,0.8907864206960229,0.856084913365636,0.8372413793103448,0.013400000000001456,0.013999999999941792
100,10,773,0.9089186077268709,0.8478591331197757,0.8239247311827957,0.013400000000001456,0.013999999999941792
100,30,773,0.9016618289430137,0.8155736749704258,0.7840314136125655,0.013400000000001456,0.014000000000002425
100,50,773,0.8849743477060543,0.7800278441229074,0.7633986928104575,0.013400000000001456,0.013800000000046567
100,100,773,0.8230988663990699,0.6851715729209352,0.7189542483660131,0.013400000000001456,0.013400000000001456
100,250,773,0.6653628606360236,0.5548164789028567,0.6684005201560468,0.013400000000001456,0.011239999999997963
